1,Bayern Munich,3,Borussia Monchengladbach,1
1,Hoffenheim,2,Nurnberg,2
1,Bayer Leverkusen,3,Freiburg,1
1,Hannover 96,2,Wolfsburg,0
1,Augsburg,0,Borussia Dortmund,4
1,Braunschweig,0,Werder Bremen,1
1,Hertha Berlin,6,Eintracht Frankfurt,1
1,Mainz 05,3,VfB Stuttgart,2
1,Schalke 04,3,Hamburger SV,3
2,Borussia Monchengladbach,3,Hannover 96,0
2,VfB Stuttgart,0,Bayer Leverkusen,1
2,Wolfsburg,4,Schalke 04,0
2,Werder Bremen,1,Augsburg,0
2,Freiburg,1,Mainz 05,2
2,Hamburger SV,1,Hoffenheim,5
2,Eintracht Frankfurt,0,Bayern Munich,1
2,Borussia Dortmund,2,Braunschweig,1
2,Nurnberg,2,Hertha Berlin,2
3,Borussia Dortmund,1,Werder Bremen,0
3,Bayern Munich,2,Nurnberg,0
3,Bayer Leverkusen,4,Borussia Monchengladbach,2
3,Hannover 96,2,Schalke 04,1
3,Hoffenheim,3,Freiburg,3
3,Mainz 05,2,Wolfsburg,0
3,Hertha Berlin,1,Hamburger SV,0
3,Augsburg,2,VfB Stuttgart,1
3,Braunschweig,0,Eintracht Frankfurt,2
4,Freiburg,1,Bayern Munich,1
4,Schalke 04,2,Bayer Leverkusen,0
4,Borussia Monchengladbach,4,Werder Bremen,1
4,Hannover 96,4,Mainz 05,1
4,Wolfsburg,2,Hertha Berlin,0
4,Nurnberg,0,Augsburg,1
4,Hamburger SV,4,Braunschweig,0
4,VfB Stuttgart,6,Hoffenheim,2
4,Eintracht Frankfurt,1,Borussia Dortmund,2
5,Hertha Berlin,0,VfB Stuttgart,1
5,Borussia Dortmund,6,Hamburger SV,2
5,Bayern Munich,2,Hannover 96,0
5,Bayer Leverkusen,3,Wolfsburg,1
5,Werder Bremen,0,Eintracht Frankfurt,3
5,Mainz 05,0,Schalke 04,1
5,Augsburg,2,Freiburg,1
5,Hoffenheim,2,Borussia Monchengladbach,1
5,Braunschweig,1,Nurnberg,1
6,Borussia Monchengladbach,4,Braunschweig,1
6,Schalke 04,0,Bayern Munich,4
6,Hannover 96,2,Augsburg,1
6,Wolfsburg,2,Hoffenheim,1
6,Nurnberg,1,Borussia Dortmund,1
6,Mainz 05,1,Bayer Leverkusen,4
6,Hamburger SV,0,Werder Bremen,2
6,VfB Stuttgart,1,Eintracht Frankfurt,1
6,Freiburg,1,Hertha Berlin,1
7,Augsburg,2,Borussia Monchengladbach,2
7,Borussia Dortmund,5,Freiburg,0
7,Bayern Munich,1,Wolfsburg,0
7,Bayer Leverkusen,2,Hannover 96,0
7,Hoffenheim,3,Schalke 04,3
7,Eintracht Frankfurt,2,Hamburger SV,2
7,Hertha Berlin,3,Mainz 05,1
7,Werder Bremen,3,Nurnberg,3
7,Braunschweig,0,VfB Stuttgart,4
8,Hannover 96,1,Hertha Berlin,1
8,Schalke 04,4,Augsburg,1
8,Borussia Monchengladbach,2,Borussia Dortmund,0
8,Bayer Leverkusen,1,Bayern Munich,1
8,VfB Stuttgart,1,Werder Bremen,1
8,Wolfsburg,0,Braunschweig,2
8,Mainz 05,2,Hoffenheim,2
8,Nurnberg,0,Hamburger SV,5
8,Freiburg,1,Eintracht Frankfurt,1
9,Hoffenheim,1,Bayer Leverkusen,2
9,Borussia Dortmund,1,Hannover 96,0
9,Bayern Munich,4,Mainz 05,1
9,Werder Bremen,0,Freiburg,0
9,Braunschweig,2,Schalke 04,3
9,Eintracht Frankfurt,1,Nurnberg,1
9,Hertha Berlin,1,Borussia Monchengladbach,0
9,Augsburg,1,Wolfsburg,2
9,Hamburger SV,3,VfB Stuttgart,3
10,VfB Stuttgart,1,Nurnberg,1
10,Bayern Munich,3,Hertha Berlin,2
10,Schalke 04,1,Borussia Dortmund,3
10,Bayer Leverkusen,2,Augsburg,1
10,Hannover 96,1,Hoffenheim,4
10,Wolfsburg,3,Werder Bremen,0
10,Mainz 05,2,Braunschweig,0
10,Borussia Monchengladbach,4,Eintracht Frankfurt,1
10,Freiburg,0,Hamburger SV,3
11,Borussia Dortmund,6,VfB Stuttgart,1
11,Nurnberg,0,Freiburg,3
11,Hoffenheim,1,Bayern Munich,2
11,Hamburger SV,0,Borussia Monchengladbach,2
11,Braunschweig,1,Bayer Leverkusen,0
11,Eintracht Frankfurt,1,Wolfsburg,2
11,Hertha Berlin,0,Schalke 04,2
11,Werder Bremen,3,Hannover 96,2
11,Augsburg,2,Mainz 05,1
12,Hannover 96,0,Braunschweig,0
12,Bayern Munich,3,Augsburg,0
12,Schalke 04,3,Werder Bremen,1
12,Borussia Monchengladbach,3,Nurnberg,1
12,Bayer Leverkusen,5,Hamburger SV,3
12,Wolfsburg,2,Borussia Dortmund,1
12,Hoffenheim,2,Hertha Berlin,3
12,Freiburg,1,VfB Stuttgart,3
12,Mainz 05,1,Eintracht Frankfurt,0
