1,Valladolid,1,Athletic Bilbao,2
1,Real Sociedad,2,Getafe,0
1,Valencia,1,Malaga,0
1,Real Madrid,2,Real Betis,1
1,Osasuna,1,Granada,2
1,Sevilla,1,Atletico Madrid,3
1,Barcelona,7,Levante,0
1,Celta Vigo,2,Espanyol,2
1,Almeria,2,Villarreal,3
1,Rayo Vallecano,3,Elche,0
2,Athletic Bilbao,2,Osasuna,0
2,Getafe,2,Almeria,2
2,Espanyol,3,Valencia,1
2,Elche,1,Real Sociedad,1
2,Villarreal,2,Valladolid,1
2,Real Betis,1,Celta Vigo,2
2,Atletico Madrid,5,Rayo Vallecano,0
2,Levante,0,Sevilla,0
2,Malaga,0,Barcelona,1
2,Granada,0,Real Madrid,1
3,Almeria,2,Elche,2
3,Rayo Vallecano,1,Levante,2
3,Celta Vigo,1,Granada,1
3,Osasuna,0,Villarreal,3
3,Valladolid,1,Getafe,0
3,Espanyol,0,Real Betis,0
3,Real Madrid,3,Athletic Bilbao,1
3,Real Sociedad,1,Atletico Madrid,2
3,Sevilla,2,Malaga,2
3,Valencia,2,Barcelona,3
4,Villarreal,2,Real Madrid,2
4,Atletico Madrid,4,Almeria,2
4,Levante,0,Real Sociedad,0
4,Barcelona,3,Sevilla,2
4,Real Betis,3,Valencia,1
4,Granada,0,Espanyol,1
4,Getafe,2,Osasuna,1
4,Malaga,5,Rayo Vallecano,0
4,Athletic Bilbao,3,Celta Vigo,2
4,Elche,0,Valladolid,0
5,Osasuna,2,Elche,1
5,Valladolid,0,Atletico Madrid,2
5,Almeria,2,Levante,2
5,Real Sociedad,0,Malaga,0
5,Rayo Vallecano,0,Barcelona,4
5,Real Betis,0,Granada,0
5,Celta Vigo,0,Villarreal,0
5,Real Madrid,4,Getafe,1
5,Valencia,3,Sevilla,1
5,Espanyol,3,Athletic Bilbao,2
6,Atletico Madrid,2,Osasuna,1
6,Levante,1,Valladolid,1
6,Malaga,2,Almeria,0
6,Barcelona,4,Real Sociedad,1
6,Granada,0,Valencia,1
6,Elche,1,Real Madrid,2
6,Sevilla,4,Rayo Vallecano,1
6,Athletic Bilbao,2,Real Betis,1
6,Villarreal,2,Espanyol,1
6,Getafe,2,Celta Vigo,0
7,Valladolid,2,Malaga,2
7,Real Madrid,0,Atletico Madrid,1
7,Almeria,0,Barcelona,2
7,Real Sociedad,1,Sevilla,1
7,Valencia,1,Rayo Vallecano,0
7,Real Betis,1,Villarreal,0
7,Espanyol,0,Getafe,2
7,Celta Vigo,0,Elche,1
7,Osasuna,0,Levante,1
7,Granada,2,Athletic Bilbao,0
8,Villarreal,3,Granada,0
8,Malaga,0,Osasuna,1
8,Elche,2,Espanyol,1
8,Levante,2,Real Madrid,3
8,Barcelona,4,Valladolid,1
8,Rayo Vallecano,1,Real Sociedad,0
8,Athletic Bilbao,1,Valencia,1
8,Getafe,3,Real Betis,1
8,Atletico Madrid,2,Celta Vigo,1
8,Sevilla,2,Almeria,1
9,Espanyol,1,Atletico Madrid,0
9,Real Madrid,2,Malaga,0
9,Osasuna,0,Barcelona,0
9,Valencia,1,Real Sociedad,2
9,Granada,0,Getafe,2
9,Real Betis,1,Elche,2
9,Valladolid,2,Sevilla,2
9,Almeria,0,Rayo Vallecano,1
9,Athletic Bilbao,2,Villarreal,0
9,Celta Vigo,0,Levante,1
10,Rayo Vallecano,0,Valladolid,3
10,Elche,0,Granada,1
10,Levante,3,Espanyol,0
10,Malaga,0,Celta Vigo,5
10,Barcelona,2,Real Madrid,1
10,Villarreal,4,Valencia,1
10,Atletico Madrid,5,Real Betis,0
10,Sevilla,2,Osasuna,1
10,Real Sociedad,3,Almeria,0
10,Getafe,0,Athletic Bilbao,1
11,Espanyol,0,Malaga,0
11,Celta Vigo,0,Barcelona,3
11,Real Madrid,7,Sevilla,3
11,Osasuna,3,Rayo Vallecano,1
11,Valladolid,2,Real Sociedad,2
11,Valencia,1,Almeria,2
11,Villarreal,0,Getafe,2
11,Athletic Bilbao,2,Elche,2
11,Granada,1,Atletico Madrid,2
11,Real Betis,0,Levante,0
12,Barcelona,1,Espanyol,0
12,Sevilla,0,Celta Vigo,1
12,Rayo Vallecano,2,Real Madrid,3
12,Real Sociedad,5,Osasuna,0
12,Almeria,1,Valladolid,0
12,Getafe,0,Valencia,1
12,Atletico Madrid,2,Athletic Bilbao,0
12,Levante,0,Granada,1
12,Malaga,3,Real Betis,2
12,Elche,0,Villarreal,1
13,Granada,3,Malaga,1
13,Osasuna,0,Almeria,1
13,Getafe,1,Elche,1
13,Athletic Bilbao,2,Levante,1
13,Celta Vigo,0,Rayo Vallecano,2
13,Real Madrid,5,Real Sociedad,1
13,Villarreal,1,Atletico Madrid,1
13,Real Betis,1,Barcelona,4
13,Espanyol,1,Sevilla,3
13,Valencia,2,Valladolid,2
