"","Round","Team","Outcome","Score","Location","Opponent"
"1",1,"Valladolid",-1,"1-2","home","Athletic Bilbao"
"2",1,"Real Sociedad",1,"2-0","home","Getafe"
"3",1,"Valencia",1,"1-0","home","Malaga"
"4",1,"Real Madrid",1,"2-1","home","Real Betis"
"5",1,"Osasuna",-1,"1-2","home","Granada"
"6",1,"Sevilla",-1,"1-3","home","Atletico Madrid"
"7",1,"Barcelona",1,"7-0","home","Levante"
"8",1,"Celta Vigo",0,"2-2","home","Espanyol"
"9",1,"Almeria",-1,"2-3","home","Villarreal"
"10",1,"Rayo Vallecano",1,"3-0","home","Elche"
"11",2,"Athletic Bilbao",1,"2-0","home","Osasuna"
"12",2,"Getafe",0,"2-2","home","Almeria"
"13",2,"Espanyol",1,"3-1","home","Valencia"
"14",2,"Elche",0,"1-1","home","Real Sociedad"
"15",2,"Villarreal",1,"2-1","home","Valladolid"
"16",2,"Real Betis",-1,"1-2","home","Celta Vigo"
"17",2,"Atletico Madrid",1,"5-0","home","Rayo Vallecano"
"18",2,"Levante",0,"0-0","home","Sevilla"
"19",2,"Malaga",-1,"0-1","home","Barcelona"
"20",2,"Granada",-1,"0-1","home","Real Madrid"
"21",3,"Almeria",0,"2-2","home","Elche"
"22",3,"Rayo Vallecano",-1,"1-2","home","Levante"
"23",3,"Celta Vigo",0,"1-1","home","Granada"
"24",3,"Osasuna",-1,"0-3","home","Villarreal"
"25",3,"Valladolid",1,"1-0","home","Getafe"
"26",3,"Espanyol",0,"0-0","home","Real Betis"
"27",3,"Real Madrid",1,"3-1","home","Athletic Bilbao"
"28",3,"Real Sociedad",-1,"1-2","home","Atletico Madrid"
"29",3,"Sevilla",0,"2-2","home","Malaga"
"30",3,"Valencia",-1,"2-3","home","Barcelona"
"31",4,"Villarreal",0,"2-2","home","Real Madrid"
"32",4,"Atletico Madrid",1,"4-2","home","Almeria"
"33",4,"Levante",0,"0-0","home","Real Sociedad"
"34",4,"Barcelona",1,"3-2","home","Sevilla"
"35",4,"Real Betis",1,"3-1","home","Valencia"
"36",4,"Granada",-1,"0-1","home","Espanyol"
"37",4,"Getafe",1,"2-1","home","Osasuna"
"38",4,"Malaga",1,"5-0","home","Rayo Vallecano"
"39",4,"Athletic Bilbao",1,"3-2","home","Celta Vigo"
"40",4,"Elche",0,"0-0","home","Valladolid"
"41",5,"Osasuna",1,"2-1","home","Elche"
"42",5,"Valladolid",-1,"0-2","home","Atletico Madrid"
"43",5,"Almeria",0,"2-2","home","Levante"
"44",5,"Real Sociedad",0,"0-0","home","Malaga"
"45",5,"Rayo Vallecano",-1,"0-4","home","Barcelona"
"46",5,"Real Betis",0,"0-0","home","Granada"
"47",5,"Celta Vigo",0,"0-0","home","Villarreal"
"48",5,"Real Madrid",1,"4-1","home","Getafe"
"49",5,"Valencia",1,"3-1","home","Sevilla"
"50",5,"Espanyol",1,"3-2","home","Athletic Bilbao"
"51",6,"Atletico Madrid",1,"2-1","home","Osasuna"
"52",6,"Levante",0,"1-1","home","Valladolid"
"53",6,"Malaga",1,"2-0","home","Almeria"
"54",6,"Barcelona",1,"4-1","home","Real Sociedad"
"55",6,"Granada",-1,"0-1","home","Valencia"
"56",6,"Elche",-1,"1-2","home","Real Madrid"
"57",6,"Sevilla",1,"4-1","home","Rayo Vallecano"
"58",6,"Athletic Bilbao",1,"2-1","home","Real Betis"
"59",6,"Villarreal",1,"2-1","home","Espanyol"
"60",6,"Getafe",1,"2-0","home","Celta Vigo"
"61",7,"Valladolid",0,"2-2","home","Malaga"
"62",7,"Real Madrid",-1,"0-1","home","Atletico Madrid"
"63",7,"Almeria",-1,"0-2","home","Barcelona"
"64",7,"Real Sociedad",0,"1-1","home","Sevilla"
"65",7,"Valencia",1,"1-0","home","Rayo Vallecano"
"66",7,"Real Betis",1,"1-0","home","Villarreal"
"67",7,"Espanyol",-1,"0-2","home","Getafe"
"68",7,"Celta Vigo",-1,"0-1","home","Elche"
"69",7,"Osasuna",-1,"0-1","home","Levante"
"70",7,"Granada",1,"2-0","home","Athletic Bilbao"
"71",8,"Villarreal",1,"3-0","home","Granada"
"72",8,"Malaga",-1,"0-1","home","Osasuna"
"73",8,"Elche",1,"2-1","home","Espanyol"
"74",8,"Levante",-1,"2-3","home","Real Madrid"
"75",8,"Barcelona",1,"4-1","home","Valladolid"
"76",8,"Rayo Vallecano",1,"1-0","home","Real Sociedad"
"77",8,"Athletic Bilbao",0,"1-1","home","Valencia"
"78",8,"Getafe",1,"3-1","home","Real Betis"
"79",8,"Atletico Madrid",1,"2-1","home","Celta Vigo"
"80",8,"Sevilla",1,"2-1","home","Almeria"
"81",9,"Espanyol",1,"1-0","home","Atletico Madrid"
"82",9,"Real Madrid",1,"2-0","home","Malaga"
"83",9,"Osasuna",0,"0-0","home","Barcelona"
"84",9,"Valencia",-1,"1-2","home","Real Sociedad"
"85",9,"Granada",-1,"0-2","home","Getafe"
"86",9,"Real Betis",-1,"1-2","home","Elche"
"87",9,"Valladolid",0,"2-2","home","Sevilla"
"88",9,"Almeria",-1,"0-1","home","Rayo Vallecano"
"89",9,"Athletic Bilbao",1,"2-0","home","Villarreal"
"90",9,"Celta Vigo",-1,"0-1","home","Levante"
"91",10,"Rayo Vallecano",-1,"0-3","home","Valladolid"
"92",10,"Elche",-1,"0-1","home","Granada"
"93",10,"Levante",1,"3-0","home","Espanyol"
"94",10,"Malaga",-1,"0-5","home","Celta Vigo"
"95",10,"Barcelona",1,"2-1","home","Real Madrid"
"96",10,"Villarreal",1,"4-1","home","Valencia"
"97",10,"Atletico Madrid",1,"5-0","home","Real Betis"
"98",10,"Sevilla",1,"2-1","home","Osasuna"
"99",10,"Real Sociedad",1,"3-0","home","Almeria"
"100",10,"Getafe",-1,"0-1","home","Athletic Bilbao"
"101",11,"Espanyol",0,"0-0","home","Malaga"
"102",11,"Celta Vigo",-1,"0-3","home","Barcelona"
"103",11,"Real Madrid",1,"7-3","home","Sevilla"
"104",11,"Osasuna",1,"3-1","home","Rayo Vallecano"
"105",11,"Valladolid",0,"2-2","home","Real Sociedad"
"106",11,"Valencia",-1,"1-2","home","Almeria"
"107",11,"Villarreal",-1,"0-2","home","Getafe"
"108",11,"Athletic Bilbao",0,"2-2","home","Elche"
"109",11,"Granada",-1,"1-2","home","Atletico Madrid"
"110",11,"Real Betis",0,"0-0","home","Levante"
"111",12,"Barcelona",1,"1-0","home","Espanyol"
"112",12,"Sevilla",-1,"0-1","home","Celta Vigo"
"113",12,"Rayo Vallecano",-1,"2-3","home","Real Madrid"
"114",12,"Real Sociedad",1,"5-0","home","Osasuna"
"115",12,"Almeria",1,"1-0","home","Valladolid"
"116",12,"Getafe",-1,"0-1","home","Valencia"
"117",12,"Atletico Madrid",1,"2-0","home","Athletic Bilbao"
"118",12,"Levante",-1,"0-1","home","Granada"
"119",12,"Malaga",1,"3-2","home","Real Betis"
"120",12,"Elche",-1,"0-1","home","Villarreal"
"121",13,"Granada",1,"3-1","home","Malaga"
"122",13,"Osasuna",-1,"0-1","home","Almeria"
"123",13,"Getafe",0,"1-1","home","Elche"
"124",13,"Athletic Bilbao",1,"2-1","home","Levante"
"125",13,"Celta Vigo",-1,"0-2","home","Rayo Vallecano"
"126",13,"Real Madrid",1,"5-1","home","Real Sociedad"
"127",13,"Villarreal",0,"1-1","home","Atletico Madrid"
"128",13,"Real Betis",-1,"1-4","home","Barcelona"
"129",13,"Espanyol",-1,"1-3","home","Sevilla"
"130",13,"Valencia",0,"2-2","home","Valladolid"
"131",1,"Athletic Bilbao",1,"1-2","away","Valladolid"
"132",1,"Getafe",-1,"2-0","away","Real Sociedad"
"133",1,"Malaga",-1,"1-0","away","Valencia"
"134",1,"Real Betis",-1,"2-1","away","Real Madrid"
"135",1,"Granada",1,"1-2","away","Osasuna"
"136",1,"Atletico Madrid",1,"1-3","away","Sevilla"
"137",1,"Levante",-1,"7-0","away","Barcelona"
"138",1,"Espanyol",0,"2-2","away","Celta Vigo"
"139",1,"Villarreal",1,"2-3","away","Almeria"
"140",1,"Elche",-1,"3-0","away","Rayo Vallecano"
"141",2,"Osasuna",-1,"2-0","away","Athletic Bilbao"
"142",2,"Almeria",0,"2-2","away","Getafe"
"143",2,"Valencia",-1,"3-1","away","Espanyol"
"144",2,"Real Sociedad",0,"1-1","away","Elche"
"145",2,"Valladolid",-1,"2-1","away","Villarreal"
"146",2,"Celta Vigo",1,"1-2","away","Real Betis"
"147",2,"Rayo Vallecano",-1,"5-0","away","Atletico Madrid"
"148",2,"Sevilla",0,"0-0","away","Levante"
"149",2,"Barcelona",1,"0-1","away","Malaga"
"150",2,"Real Madrid",1,"0-1","away","Granada"
"151",3,"Elche",0,"2-2","away","Almeria"
"152",3,"Levante",1,"1-2","away","Rayo Vallecano"
"153",3,"Granada",0,"1-1","away","Celta Vigo"
"154",3,"Villarreal",1,"0-3","away","Osasuna"
"155",3,"Getafe",-1,"1-0","away","Valladolid"
"156",3,"Real Betis",0,"0-0","away","Espanyol"
"157",3,"Athletic Bilbao",-1,"3-1","away","Real Madrid"
"158",3,"Atletico Madrid",1,"1-2","away","Real Sociedad"
"159",3,"Malaga",0,"2-2","away","Sevilla"
"160",3,"Barcelona",1,"2-3","away","Valencia"
"161",4,"Real Madrid",0,"2-2","away","Villarreal"
"162",4,"Almeria",-1,"4-2","away","Atletico Madrid"
"163",4,"Real Sociedad",0,"0-0","away","Levante"
"164",4,"Sevilla",-1,"3-2","away","Barcelona"
"165",4,"Valencia",-1,"3-1","away","Real Betis"
"166",4,"Espanyol",1,"0-1","away","Granada"
"167",4,"Osasuna",-1,"2-1","away","Getafe"
"168",4,"Rayo Vallecano",-1,"5-0","away","Malaga"
"169",4,"Celta Vigo",-1,"3-2","away","Athletic Bilbao"
"170",4,"Valladolid",0,"0-0","away","Elche"
"171",5,"Elche",-1,"2-1","away","Osasuna"
"172",5,"Atletico Madrid",1,"0-2","away","Valladolid"
"173",5,"Levante",0,"2-2","away","Almeria"
"174",5,"Malaga",0,"0-0","away","Real Sociedad"
"175",5,"Barcelona",1,"0-4","away","Rayo Vallecano"
"176",5,"Granada",0,"0-0","away","Real Betis"
"177",5,"Villarreal",0,"0-0","away","Celta Vigo"
"178",5,"Getafe",-1,"4-1","away","Real Madrid"
"179",5,"Sevilla",-1,"3-1","away","Valencia"
"180",5,"Athletic Bilbao",-1,"3-2","away","Espanyol"
"181",6,"Osasuna",-1,"2-1","away","Atletico Madrid"
"182",6,"Valladolid",0,"1-1","away","Levante"
"183",6,"Almeria",-1,"2-0","away","Malaga"
"184",6,"Real Sociedad",-1,"4-1","away","Barcelona"
"185",6,"Valencia",1,"0-1","away","Granada"
"186",6,"Real Madrid",1,"1-2","away","Elche"
"187",6,"Rayo Vallecano",-1,"4-1","away","Sevilla"
"188",6,"Real Betis",-1,"2-1","away","Athletic Bilbao"
"189",6,"Espanyol",-1,"2-1","away","Villarreal"
"190",6,"Celta Vigo",-1,"2-0","away","Getafe"
"191",7,"Malaga",0,"2-2","away","Valladolid"
"192",7,"Atletico Madrid",1,"0-1","away","Real Madrid"
"193",7,"Barcelona",1,"0-2","away","Almeria"
"194",7,"Sevilla",0,"1-1","away","Real Sociedad"
"195",7,"Rayo Vallecano",-1,"1-0","away","Valencia"
"196",7,"Villarreal",-1,"1-0","away","Real Betis"
"197",7,"Getafe",1,"0-2","away","Espanyol"
"198",7,"Elche",1,"0-1","away","Celta Vigo"
"199",7,"Levante",1,"0-1","away","Osasuna"
"200",7,"Athletic Bilbao",-1,"2-0","away","Granada"
"201",8,"Granada",-1,"3-0","away","Villarreal"
"202",8,"Osasuna",1,"0-1","away","Malaga"
"203",8,"Espanyol",-1,"2-1","away","Elche"
"204",8,"Real Madrid",1,"2-3","away","Levante"
"205",8,"Valladolid",-1,"4-1","away","Barcelona"
"206",8,"Real Sociedad",-1,"1-0","away","Rayo Vallecano"
"207",8,"Valencia",0,"1-1","away","Athletic Bilbao"
"208",8,"Real Betis",-1,"3-1","away","Getafe"
"209",8,"Celta Vigo",-1,"2-1","away","Atletico Madrid"
"210",8,"Almeria",-1,"2-1","away","Sevilla"
"211",9,"Atletico Madrid",-1,"1-0","away","Espanyol"
"212",9,"Malaga",-1,"2-0","away","Real Madrid"
"213",9,"Barcelona",0,"0-0","away","Osasuna"
"214",9,"Real Sociedad",1,"1-2","away","Valencia"
"215",9,"Getafe",1,"0-2","away","Granada"
"216",9,"Elche",1,"1-2","away","Real Betis"
"217",9,"Sevilla",0,"2-2","away","Valladolid"
"218",9,"Rayo Vallecano",1,"0-1","away","Almeria"
"219",9,"Villarreal",-1,"2-0","away","Athletic Bilbao"
"220",9,"Levante",1,"0-1","away","Celta Vigo"
"221",10,"Valladolid",1,"0-3","away","Rayo Vallecano"
"222",10,"Granada",1,"0-1","away","Elche"
"223",10,"Espanyol",-1,"3-0","away","Levante"
"224",10,"Celta Vigo",1,"0-5","away","Malaga"
"225",10,"Real Madrid",-1,"2-1","away","Barcelona"
"226",10,"Valencia",-1,"4-1","away","Villarreal"
"227",10,"Real Betis",-1,"5-0","away","Atletico Madrid"
"228",10,"Osasuna",-1,"2-1","away","Sevilla"
"229",10,"Almeria",-1,"3-0","away","Real Sociedad"
"230",10,"Athletic Bilbao",1,"0-1","away","Getafe"
"231",11,"Malaga",0,"0-0","away","Espanyol"
"232",11,"Barcelona",1,"0-3","away","Celta Vigo"
"233",11,"Sevilla",-1,"7-3","away","Real Madrid"
"234",11,"Rayo Vallecano",-1,"3-1","away","Osasuna"
"235",11,"Real Sociedad",0,"2-2","away","Valladolid"
"236",11,"Almeria",1,"1-2","away","Valencia"
"237",11,"Getafe",1,"0-2","away","Villarreal"
"238",11,"Elche",0,"2-2","away","Athletic Bilbao"
"239",11,"Atletico Madrid",1,"1-2","away","Granada"
"240",11,"Levante",0,"0-0","away","Real Betis"
"241",12,"Espanyol",-1,"1-0","away","Barcelona"
"242",12,"Celta Vigo",1,"0-1","away","Sevilla"
"243",12,"Real Madrid",1,"2-3","away","Rayo Vallecano"
"244",12,"Osasuna",-1,"5-0","away","Real Sociedad"
"245",12,"Valladolid",-1,"1-0","away","Almeria"
"246",12,"Valencia",1,"0-1","away","Getafe"
"247",12,"Athletic Bilbao",-1,"2-0","away","Atletico Madrid"
"248",12,"Granada",1,"0-1","away","Levante"
"249",12,"Real Betis",-1,"3-2","away","Malaga"
"250",12,"Villarreal",1,"0-1","away","Elche"
"251",13,"Malaga",-1,"3-1","away","Granada"
"252",13,"Almeria",1,"0-1","away","Osasuna"
"253",13,"Elche",0,"1-1","away","Getafe"
"254",13,"Levante",-1,"2-1","away","Athletic Bilbao"
"255",13,"Rayo Vallecano",1,"0-2","away","Celta Vigo"
"256",13,"Real Sociedad",-1,"5-1","away","Real Madrid"
"257",13,"Atletico Madrid",0,"1-1","away","Villarreal"
"258",13,"Barcelona",1,"1-4","away","Real Betis"
"259",13,"Sevilla",1,"1-3","away","Espanyol"
"260",13,"Valladolid",0,"2-2","away","Valencia"
