"","Team","W","L","D"
"1","Almeria",0.166666666666667,0.5,0.333333333333333
"2","Athletic Bilbao",0.714285714285714,0,0.285714285714286
"3","Atletico Madrid",1,0,0
"4","Barcelona",1,0,0
"5","Celta Vigo",0,0.571428571428571,0.428571428571429
"6","Elche",0.166666666666667,0.5,0.333333333333333
"7","Espanyol",0.428571428571429,0.285714285714286,0.285714285714286
"8","Getafe",0.428571428571429,0.285714285714286,0.285714285714286
"9","Granada",0.285714285714286,0.714285714285714,0
"10","Levante",0.166666666666667,0.333333333333333,0.5
"11","Malaga",0.5,0.5,0
"12","Osasuna",0.285714285714286,0.571428571428571,0.142857142857143
"13","Rayo Vallecano",0.333333333333333,0.666666666666667,0
"14","Real Betis",0.285714285714286,0.428571428571429,0.285714285714286
"15","Real Madrid",0.857142857142857,0.142857142857143,0
"16","Real Sociedad",0.5,0.166666666666667,0.333333333333333
"17","Sevilla",0.5,0.333333333333333,0.166666666666667
"18","Valencia",0.428571428571429,0.428571428571429,0.142857142857143
"19","Valladolid",0.166666666666667,0.333333333333333,0.5
"20","Villarreal",0.571428571428571,0.142857142857143,0.285714285714286
"21","(all)",0.438461538461538,0.346153846153846,0.215384615384615
